Date,Close/Last,Volume,Open,High,Low
2023-01-09,"1,967.10",158.269,"1,966.40","1,980.20","1,960.70"
2023-01-11,"1,987.50",190.094,"1,993.30","2,005.90","1,978.20"
2023-01-12,"2,089.70",230.877,"2,056.50","2,095.70","2,052.60"
2023-02-10,"1,847.20",191.599,"1,864.40","1,864.70","1,842.70"
2023-02-11,"1,993.50",150.476,"1,992.00","1,999.20","1,986.30"
2023-03-10,"1,841.50",208.11,"1,844.90","1,849.30","1,830.90"
2023-03-11,"1,999.20",211.154,"1,993.50","2,011.90","1,989.30"
2023-04-10,"1,834.80",187.267,"1,838.70","1,846.80","1,831.60"
2023-04-12,"2,042.20",368.688,"2,094.40","2,092.80","2,038.40"
2023-05-09,"1,952.60",187.935,"1,966.70","1,972.60","1,950.60"
2023-05-10,"1,831.80",163.68,"1,837.60","1,843.50","1,826.20"
2023-05-12,"2,036.30",202.003,"2,049.00","2,059.60","2,027.60"
2023-06-09,"1,944.20",145.271,"1,951.50","1,954.50","1,940.00"
2023-06-10,"1,845.20",224.544,"1,834.30","1,849.00","1,823.50"
2023-06-11,"1,988.60",142.515,"1,999.40","1,991.50","1,984.20"
2023-06-12,"2,047.90",150.192,"2,037.80","2,053.40","2,035.30"
2023-07-09,"1,942.50",114.097,"1,942.20","1,947.90","1,940.30"
2023-07-11,"1,973.50",200.482,"1,984.80","1,985.20","1,962.80"
2023-07-12,"2,046.40",165.566,"2,043.40","2,057.20","2,036.60"
2023-08-09,"1,942.70",136.235,"1,943.80","1,954.00","1,940.80"
2023-08-11,"1,957.80",170.367,"1,975.30","1,977.50","1,953.20"
2023-08-12,"2,014.50",227.831,"2,045.70","2,050.40","2,010.60"
2023-08-18,"1,916.50",110.337,"1,919.20","1,926.00","1,915.90"
2023-08-21,"1,923.00",135.415,"1,918.40","1,927.90","1,913.60"
2023-08-22,"1,926.00",126.226,"1,924.00","1,933.20","1,917.50"
2023-08-23,"1,948.10",162.315,"1,926.80","1,949.70","1,926.20"
2023-08-24,"1,947.10",133.727,"1,944.90","1,951.30","1,939.20"
2023-08-25,"1,939.90",163.733,"1,944.90","1,950.40","1,931.00"
2023-08-28,"1,946.80",113.565,"1,944.00","1,954.20","1,940.10"
2023-08-29,"1,965.10",169.333,"1,948.10","1,966.50","1,941.70"
2023-08-30,"1,973.00",138.398,"1,966.00","1,977.10","1,962.80"
2023-08-31,"1,965.90",125.945,"1,970.20","1,974.90","1,965.50"
2023-09-10,"1,864.30",183.451,"1,861.00","1,877.30","1,857.50"
2023-09-11,"1,969.80",185.574,"1,955.50","1,971.50","1,948.30"
2023-09-13,"1,932.50",156.209,"1,935.20","1,938.40","1,927.20"
2023-09-14,"1,932.80",196.22,"1,930.70","1,934.50","1,921.70"
2023-09-15,"1,946.20",195.342,"1,932.50","1,952.40","1,931.20"
2023-09-18,"1,953.40",134.529,"1,945.70","1,955.70","1,943.80"
2023-09-19,"1,953.70",126.871,"1,955.30","1,958.90","1,950.90"
2023-09-20,"1,967.10",212.731,"1,953.00","1,968.90","1,948.60"
2023-09-21,"1,939.60",218.211,"1,952.00","1,952.20","1,933.10"
2023-09-22,"1,945.60",135.193,"1,939.60","1,949.10","1,939.60"
2023-09-25,"1,936.60",155.517,"1,944.70","1,946.80","1,933.80"
2023-09-26,"1,919.80",202.105,"1,935.10","1,935.50","1,917.20"
2023-09-27,"1,890.90",221.139,"1,918.80","1,921.70","1,890.30"
2023-09-28,"1,878.60",217.353,"1,893.30","1,896.80","1,874.50"
2023-09-29,"1,866.10",234.756,"1,882.30","1,896.70","1,862.30"
2023-10-10,"1,875.30",152.865,"1,875.40","1,879.10","1,866.10"
2023-10-11,"1,937.70",210.158,"1,964.10","1,965.60","1,936.90"
2023-10-13,"1,941.50",298.561,"1,881.70","1,946.20","1,881.50"
2023-10-16,"1,934.30",174.742,"1,941.30","1,943.00","1,921.20"
2023-10-17,"1,935.70",159.43,"1,933.30","1,944.50","1,924.60"
2023-10-18,"1,968.30",261.064,"1,936.70","1,975.80","1,935.90"
2023-10-19,"1,980.50",253.69,"1,960.10","1,990.20","1,957.00"
2023-10-20,"1,994.40",279.162,"1,988.00","2,009.20","1,983.70"
2023-10-23,"1,987.80",204.959,"1,987.70","1,990.90","1,982.60"
2023-10-24,"1,986.10",191.586,"1,984.10","1,989.00","1,970.00"
2023-10-25,"1,994.90",235.699,"1,982.70","1,998.60","1,973.60"
2023-10-26,"1,997.40",208.597,"1,991.20","2,003.70","1,981.60"
2023-10-27,"1,998.50",206.932,"1,995.00","2,019.70","1,986.40"
2023-10-30,"2,005.60",177.834,"2,013.50","2,012.40","1,999.70"
2023-10-31,"1,994.30",205.951,"2,005.60","2,017.70","1,987.40"
2023-11-09,"1,947.20",128.75,"1,943.30","1,947.60","1,944.60"
2023-11-10,"1,887.30",162.914,"1,873.70","1,890.90","1,871.70"
2023-11-12,"1,993.70",151.409,"2,020.00","2,023.70","1,991.20"
2023-11-13,"1,950.20",164.985,"1,943.40","1,953.50","1,935.60"
2023-11-14,"1,966.50",174.844,"1,950.30","1,975.30","1,938.80"
2023-11-15,"1,964.30",138.956,"1,966.90","1,979.20","1,958.80"
2023-11-16,"1,987.30",182.935,"1,963.00","1,984.50","1,983.90"
2023-11-17,"1,984.70",129.52,"1,984.20","1,983.60","1,982.50"
2023-11-20,"1,980.30",172.046,"1,980.90","1,987.80","1,967.20"
2023-11-21,"2,001.60",223.873,"1,980.00","2,009.80","1,979.90"
2023-11-22,"1,992.80",194.093,"2,000.30","2,008.30","1,988.60"
2023-11-24,"2,003.00",211.252,"1,991.20","2,004.50","1,990.90"
2023-11-27,"2,012.40",247.411,"2,002.50","2,018.90","2,001.40"
2023-11-28,"2,040.00",172.968,"2,014.30","2,044.10","2,011.50"
2023-11-29,"2,067.10",189.494,"2,062.00","2,072.70","2,055.90"
2023-11-30,"2,057.20",143.605,"2,065.40","2,067.40","2,051.20"
2023-12-09,"1,935.10",155.034,"1,945.60","1,947.50","1,929.90"
2023-12-10,"1,883.00",158.089,"1,888.10","1,898.30","1,880.60"
2023-12-12,"1,993.20",140.257,"1,997.80","2,012.50","1,992.30"
2023-12-13,"1,997.30",183.78,"1,995.10","2,043.30","1,987.90"
2023-12-14,"2,044.90",222.776,"2,043.20","2,062.90","2,039.10"
2023-12-15,"2,035.70",166.565,"2,051.30","2,059.60","2,029.20"
2023-12-18,"2,040.50",137.436,"2,033.30","2,048.00","2,029.50"
