Date,Close/Last,Volume,Open,High,Low
2023-01-09,24.562,60.053,24.82,25.22,24.52
2023-01-11,22.79,52.76,22.955,23.13,22.645
2023-01-12,25.857,68.016,25.695,25.94,25.48
2023-02-10,21.421,93.21,22.41,22.41,21.215
2023-02-11,22.846,43.235,23-May,23.24,22.755
2023-03-10,21.377,77.913,21.31,21.595,20.87
2023-03-11,23.285,75.137,22.875,23.415,22.675
2023-04-10,21.146,65.061,21.375,21.57,20.85
2023-04-12,24.907,110.364,25.945,25.73,24.785
2023-05-09,23.873,89.314,24.565,24.655,23.815
2023-05-10,21.019,56.587,21.18,21.455,20.855
2023-05-12,24.546,73.616,24.915,25-Feb,24.32
2023-06-09,23.503,65.61,23.88,23.935,23.315
2023-06-10,21.723,82.069,21-Dec,21.78,20.94
2023-06-11,23.234,40.317,23.335,23.245,23.085
2023-06-12,24.228,57.163,24.53,24.715,24.21
2023-07-09,23.24,49.499,23.50,23.50,23.13
2023-07-11,22.589,73.393,23.125,23.17,22.505
2023-07-12,24.059,56.304,24.23,24.35,23.905
2023-08-09,23.174,51.199,23.26,23.455,23.13
2023-08-11,22.728,62.026,22.705,22.935,22.375
2023-08-12,23.276,83.188,24.14,24.225,23.245
2023-08-18,23.276,8.268,23-Aug,23.24,23.00
2023-08-21,23.659,16.519,23.13,23.70,23-Apr
2023-08-22,23.763,18.265,23.71,23.83,23.59
2023-08-23,24.71,30.462,23.795,24.75,23.79
2023-08-24,24.575,37.411,24.70,24.74,24.45
2023-08-25,24.583,31.825,24.53,24.785,24.31
2023-08-28,24.605,32.274,24.62,24.75,24.45
2023-08-29,25.139,48.857,24.62,25.195,24.555
2023-08-30,25.104,63.636,25.135,25.425,24.92
2023-08-31,24.812,45.63,25-Feb,25-Jun,24.745
2023-09-10,21.924,57.208,21.94,22.18,21.705
2023-09-11,22.905,69.618,22.625,23-Jul,22.415
2023-09-13,23.181,48.15,23.375,23.39,23.025
2023-09-14,22.994,81.585,23.14,23.265,22.555
2023-09-15,23.386,65.79,22.93,23.585,22.91
2023-09-18,23.498,45.368,23.32,23.54,23.235
2023-09-19,23.456,39.112,23.53,23.705,23.365
2023-09-20,23.836,56.524,23.48,23.88,23.325
2023-09-21,23.687,72.422,23.52,23.745,23-Jun
2023-09-22,23.844,51.52,23.675,24-May,23.665
2023-09-25,23.385,54.792,23.81,23.925,23.29
2023-09-26,23.196,51.307,23.39,23.39,23-Oct
